Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Malaysia,MYS,Control of Corruption: Estimate,CC.EST,-0.0939427092671394,0.0570844486355782,0.022571574896574,0.213312953710556,0.333269119262695,0.396519064903259,0.181636169552803,0.0274246502667665,-0.00609472393989563,0.299851536750793,0.232962101697922,0.228581383824348,0.146233186125755,0.248940765857697,0.295621365308762
Malaysia,MYS,Government Effectiveness: Estimate,GE.EST,0.895370304584503,1.04647839069366,0.98675674200058,0.906338155269623,0.993431925773621,1.14593541622162,0.91708517074585,0.817718744277954,0.77773243188858,1.05388987064362,0.967774987220764,1.02225887775421,0.952433526515961,0.992667615413666,0.875369668006897
Malaysia,MYS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0416609197854996,0.143352136015892,0.0774097666144371,-0.00521240243688226,0.0517915934324265,0.266619145870209,0.25394731760025,0.129485934972763,0.111209630966187,0.248113676905632,0.14648012816906,0.125864699482918,0.0595565475523472,0.163117811083794,0.16851469874382
Malaysia,MYS,Regulatory Quality: Estimate,RQ.EST,0.269758820533752,0.611249983310699,0.547134578227997,0.477169960737228,0.567808210849762,0.799231290817261,0.704775094985962,0.663995385169983,0.671388506889343,0.575907409191132,0.547572374343872,0.666613459587097,0.714465439319611,0.644006609916687,0.660894274711609
Malaysia,MYS,Voice and Accountability: Estimate,VA.EST,-0.503894746303558,-0.49994820356369,-0.474874913692474,-0.346539199352264,-0.339791119098663,-0.360449194908142,-0.391403198242188,-0.416713893413544,-0.398660808801651,-0.099500760436058,-0.0477054789662361,-0.154460147023201,-0.164951831102371,0.000423186487751082,0.0876194089651108
Maldives,MDV,Control of Corruption: Estimate,CC.EST,-0.667673528194427,-0.539183974266052,-0.552542269229889,-0.697819232940674,-0.711625933647156,-0.316432625055313,-0.4236199259758,-0.586512804031372,-0.739739716053009,-0.83108526468277,-0.223864495754242,-0.285472601652145,-0.31484991312027,-0.332713663578033,-0.396943330764771
Maldives,MDV,Government Effectiveness: Estimate,GE.EST,-0.436706125736237,-0.191209465265274,-0.293437421321869,-0.186561584472656,-0.236842095851898,-0.230356603860855,-0.23004537820816,-0.17816124856472,-0.39471846818924,-0.475938469171524,-0.17583654820919,-0.091672420501709,0.438512802124023,-0.107565149664879,-0.127973482012749
Maldives,MDV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.229707628488541,-0.166243851184845,-0.242630183696747,-0.36517146229744,0.125037372112274,0.679096162319183,0.411403715610504,0.408033192157745,0.224531978368759,0.0830787196755409,0.0276582892984152,0.363029807806015,0.534759700298309,0.645002782344818,0.53012090921402
Maldives,MDV,Regulatory Quality: Estimate,RQ.EST,-0.381042540073395,-0.384038269519806,-0.384749859571457,-0.401814728975296,-0.457175403833389,-0.374468445777893,-0.43260794878006,-0.495872646570206,-0.440038591623306,-0.531163573265076,-0.55177366733551,-0.588554084300995,-0.613875865936279,-0.657294631004333,-0.672039389610291
Maldives,MDV,Voice and Accountability: Estimate,VA.EST,-0.0484580174088478,-0.0626933947205544,-0.156640365719795,-0.468655318021774,-0.446088761091232,-0.354872792959213,-0.50041788816452,-0.710969507694244,-0.719831883907318,-0.654160141944885,-0.452074974775314,-0.302701383829117,-0.2118049710989,-0.205017864704132,-0.137529924511909
Mali,MLI,Control of Corruption: Estimate,CC.EST,-0.680893421173096,-0.676808714866638,-0.648009061813354,-0.831212103366852,-0.79230660200119,-0.751215159893036,-0.704493343830109,-0.677658140659332,-0.665663719177246,-0.711823046207428,-0.704530775547028,-0.800912976264954,-0.887136936187744,-0.844119906425476,-0.861831545829773
Mali,MLI,Government Effectiveness: Estimate,GE.EST,-0.797493636608124,-0.847448468208313,-0.796498656272888,-0.983055293560028,-0.899786651134491,-1.08551561832428,-0.960362553596497,-1.02762377262115,-0.964268267154694,-1.02613079547882,-1.09918296337128,-1.18640530109406,-1.2514636516571,-1.1489531993866,-1.13859808444977
Mali,MLI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.07557762414217,-0.182899221777916,-0.708379745483398,-2.03432869911194,-1.72216212749481,-1.71398878097534,-1.6827712059021,-1.61284875869751,-1.90349173545837,-2.0845730304718,-2.2143087387085,-2.1463520526886,-2.33293581008911,-2.56074357032776,-2.7291362285614
Mali,MLI,Regulatory Quality: Estimate,RQ.EST,-0.408670276403427,-0.483745783567429,-0.404689967632294,-0.427046447992325,-0.519340336322784,-0.633841454982758,-0.633086144924164,-0.63912957906723,-0.616693496704102,-0.600795805454254,-0.623046398162842,-0.673809766769409,-0.634793400764465,-0.634121775627136,-0.679561257362366
Mali,MLI,Voice and Accountability: Estimate,VA.EST,0.0696147605776787,0.158107548952103,0.167899787425995,-0.495530128479004,-0.284561961889267,-0.161193147301674,-0.197768017649651,-0.182400822639465,-0.212172240018845,-0.327881008386612,-0.44176921248436,-0.760558068752289,-0.801511585712433,-0.920922577381134,-1.01174712181091
Malta,MLT,Control of Corruption: Estimate,CC.EST,0.76673024892807,0.78482449054718,0.758895993232727,0.935569167137146,0.97623074054718,0.846630215644836,0.8642418384552,0.683730661869049,0.703656733036041,0.547124087810516,0.209994375705719,0.342483103275299,0.292902559041977,0.238765001296997,0.10974658280611
Malta,MLT,Government Effectiveness: Estimate,GE.EST,1.16994321346283,1.18747317790985,1.18965113162994,1.24083888530731,1.25139141082764,1.02343165874481,0.81887686252594,0.920882403850555,0.968723773956299,0.930900931358337,0.824169158935547,0.99406486749649,0.853116869926453,0.804084479808807,0.397335052490234
Malta,MLT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.24936008453369,1.25345623493195,1.06393671035767,1.06507515907288,1.04275786876678,1.12549698352814,1.05367743968964,1.06645977497101,1.23830890655518,1.27164912223816,1.01364505290985,0.99847799539566,0.887514472007751,0.911014318466187,0.858121693134308
Malta,MLT,Regulatory Quality: Estimate,RQ.EST,1.36444461345673,1.42860507965088,1.33432626724243,1.32131969928741,1.29071772098541,1.07836270332336,1.1539055109024,1.14384472370148,1.27156889438629,1.32744300365448,0.938031852245331,1.21012890338898,0.801096200942993,0.674093782901764,0.687359094619751
